starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 15 18:11:17 2014	1402848677	0	571	571	571
Sun Jun 15 18:11:19 2014	1402848679	0	571	571	571
Sun Jun 15 18:11:40 2014	1402848700	0	572	572	572
Sun Jun 15 18:11:34 2014	1402848694	0	572	573	572
Sun Jun 15 18:11:28 2014	1402848688	0	573	573	573
Sun Jun 15 18:11:19 2014	1402848679	0	573	573	573
Sun Jun 15 18:11:40 2014	1402848700	0	573	573	573
Sun Jun 15 18:11:39 2014	1402848699	0	574	574	573
Sun Jun 15 18:11:40 2014	1402848700	0	574	574	573
Sun Jun 15 18:11:40 2014	1402848700	0	574	574	574
Sun Jun 15 18:11:32 2014	1402848692	0	574	574	574
Sun Jun 15 18:11:22 2014	1402848682	0	574	574	574
Sun Jun 15 18:11:33 2014	1402848693	0	575	575	574
Sun Jun 15 18:11:20 2014	1402848680	0	575	575	575
Sun Jun 15 18:11:19 2014	1402848679	0	575	575	575
Sun Jun 15 18:11:33 2014	1402848693	0	575	575	574
Sun Jun 15 18:11:40 2014	1402848700	0	575	576	575
Sun Jun 15 18:11:20 2014	1402848680	0	576	576	576
Sun Jun 15 18:11:28 2014	1402848688	0	576	576	576
Sun Jun 15 18:11:19 2014	1402848679	0	576	576	576
Sun Jun 15 18:11:20 2014	1402848680	0	577	577	576
Sun Jun 15 18:11:19 2014	1402848679	0	577	577	577
Sun Jun 15 18:11:40 2014	1402848700	0	578	578	578
Sun Jun 15 18:11:20 2014	1402848680	0	578	578	578
Sun Jun 15 18:11:28 2014	1402848688	0	579	579	578
Sun Jun 15 18:11:19 2014	1402848679	0	579	579	579
Sun Jun 15 18:11:19 2014	1402848679	0	579	579	579
Sun Jun 15 18:11:17 2014	1402848677	0	579	579	579
Sun Jun 15 18:11:28 2014	1402848688	0	579	579	579
Sun Jun 15 18:11:39 2014	1402848699	0	580	580	580
Sun Jun 15 18:11:33 2014	1402848693	0	580	581	580
Sun Jun 15 18:11:19 2014	1402848679	0	581	581	580
Sun Jun 15 18:11:40 2014	1402848700	0	581	581	581
Sun Jun 15 18:11:28 2014	1402848688	0	581	581	581
Sun Jun 15 18:11:20 2014	1402848680	0	581	581	581
Sun Jun 15 18:11:19 2014	1402848679	0	581	581	581
Sun Jun 15 18:11:33 2014	1402848693	0	581	581	581
Sun Jun 15 18:11:33 2014	1402848693	0	581	581	581
Sun Jun 15 18:11:28 2014	1402848688	0	581	581	581
Sun Jun 15 18:11:28 2014	1402848688	0	581	582	581
Sun Jun 15 18:11:22 2014	1402848682	0	582	582	582
Sun Jun 15 18:11:28 2014	1402848688	0	582	582	582
Sun Jun 15 18:11:28 2014	1402848688	0	583	583	582
Sun Jun 15 18:11:28 2014	1402848688	0	584	584	583
Sun Jun 15 18:11:22 2014	1402848682	0	584	584	583
Sun Jun 15 18:11:32 2014	1402848692	0	584	584	583
Sun Jun 15 18:11:33 2014	1402848693	0	584	584	583
Sun Jun 15 18:11:33 2014	1402848693	0	584	584	583
Sun Jun 15 18:11:28 2014	1402848688	0	584	584	584
Sun Jun 15 18:11:40 2014	1402848700	0	584	584	584
Sun Jun 15 18:11:19 2014	1402848679	0	584	584	584
Sun Jun 15 18:11:40 2014	1402848700	0	585	585	584
Sun Jun 15 18:11:28 2014	1402848688	0	585	585	585
Sun Jun 15 18:11:19 2014	1402848679	0	585	585	585
Sun Jun 15 18:11:28 2014	1402848688	0	585	585	585
Sun Jun 15 18:11:19 2014	1402848679	0	585	585	585
Sun Jun 15 18:11:19 2014	1402848679	0	585	585	585
